試合種別ID,試合種別名略,チームID,チーム名略,選手ID,選手名,選手名英略,ポジション,背番号,出生地,身長,体重,生年月日,所属チーム履歴,Jリーグ通算出場数(J1),Jリーグ通算出場数(J2),Jリーグ通算出場数(J3),Jリーグ初出場年月日,Jリーグ初出場試合名,初出場チーム名略称,初出場相手チーム名略称,初出場競技場名略称,Jリーグ初得点年月日,Jリーグ初得点試合名,Jリーグ初得点チーム名略称,Jリーグ初得点相手チーム名略称,Jリーグ初得点初出場競技場名略称,現所属F,SkillCorner選手ID,SkillCorner選手ID_2025
249,Ｊ１百年構想,120,鹿島,1625413,キム　テヒョン,KIM Tae Hyeon,DF,3,大韓民国,187,82,20000917,蔚山現代ＦＣ／大韓民国-大田ハナシチズン／大韓民国-ソウルイーランドＦＣ／大韓民国-蔚山現代ＦＣ／大韓民国-ベガルタ仙台-蔚山現代ＦＣ／大韓民国-サガン鳥栖,56,53,0,20220330,明治安田J2第7節,仙台,大分,ユアスタ,20220702,明治安田J2第24節,仙台,町田,Ｇスタ,1,73729,73729
249,Ｊ１百年構想,120,鹿島,1636235,溝口　修平,MIZOGUCHI Shuhei,DF,16,茨城県,174,66,20040213,鹿島アントラーズノルテＪｒユース-鹿島アントラーズユース,15,0,0,20230415,明治安田J1第8節,鹿島,神戸,カシマ,,,,,,1,254576,254576
249,Ｊ１百年構想,120,鹿島,1640644,津久井　佳祐,TSUKUI Keisuke,DF,23,埼玉県,180,70,20040521,ＦＣ宮代東-ＦＣ　ＬＡＶＩＤＡ-昌平高,24,0,0,20240309,明治安田J1第3節,鹿島,町田,Ｇスタ,,,,,,1,813245,896105
249,Ｊ１百年構想,120,鹿島,1644451,松本　遥翔,MATSUMOTO Haruto,DF,32,埼玉県,176,73,20060929,江南南サッカー少年団-ＪＦＡアカデミー福島Ｕ－１５ＷＥＳＴ-鹿島アントラーズユース,0,0,0,,,,,,,,,,,1,799410,799410
249,Ｊ１百年構想,120,鹿島,1645865,濃野　公人,NONO Kimito,DF,22,福岡県,179,67,20020326,大阪ＤＲＥＡＭ-ヴァレンティアＦＣ-サガン鳥栖Ｕ－１５-大津高-関西学院大,58,0,0,20240223,明治安田J1第1節,鹿島,名古屋,豊田ス,20240413,明治安田J1第8節,鹿島,京都,カシマ,1,811870,811870
249,Ｊ１百年構想,120,鹿島,1646893,大川　佑梧,OKAWA Yugo,DF,28,茨城県,185,73,20070714,鹿島アントラーズジュニア-鹿島アントラーズＪｒユース-鹿島アントラーズユース,0,0,0,,,,,,,,,,,1,,
249,Ｊ１百年構想,120,鹿島,1647819,元砂　晏翔仁　ウデンバ,MOTOSUNA Anthony Udemba,DF,35,兵庫県,192,82,20090310,エストレラ津田ＳＣ-ＦＣフレスカ神戸Ｊｒユース,0,0,0,,,,,,,,,,,1,1006366,898381
249,Ｊ１百年構想,120,鹿島,1100202,柴崎　岳,SHIBASAKI Gaku,MF,10,青森県,175,64,19920528,野辺地ＳＳＳ-青森山田中-青森山田高-鹿島アントラーズ-ＣＤテネリフェ／スペイン-ヘタフェＣＦ／スペイン-デポルティーボ　ラ　コルーニャ／スペイン-ＣＤレガネス／スペイン,216,0,0,20110429,J1第8節,鹿島,福岡,レベスタ,20121006,J1第28節,鹿島,Ｆ東京,カシマ,1,11842,11842
249,Ｊ１百年構想,120,鹿島,1400757,三竿　健斗,MISAO Kento,MF,6,東京都,181,73,19960416,横河武蔵野ＦＣジュニア-東京ヴェルディジュニア-東京ヴェルディＪｒユース-東京ヴェルディユース-東京ヴェルディ-鹿島アントラーズ-ＣＤサンタクララ／ポルトガル-ＯＨルーヴェン／ベルギー,225,39,0,20150308,明治安田J2第1節,東京Ｖ,Ｃ大阪,味スタ,20171029,明治安田J1第31節,鹿島,札幌,札幌ド,1,26881,26881
249,Ｊ１百年構想,120,鹿島,1607292,知念　慶,CHINEN Kei,MF,13,沖縄県,177,73,19950317,北丘ＦＣ-南風原中-知念高-愛知学院大-川崎フロンターレ-大分トリニータ-川崎フロンターレ,213,0,0,20170401,明治安田J1第5節,川崎Ｆ,仙台,ユアスタ,20171029,明治安田J1第31節,川崎Ｆ,柏,柏,1,73681,73681
249,Ｊ１百年構想,120,鹿島,1622201,荒木　遼太郎,ARAKI Ryotaro,MF,71,熊本県,170,60,20020129,ロアッソ熊本Ｊｒユース-東福岡高-鹿島アントラーズ-ＦＣ東京,136,0,0,20200223,明治安田J1第1節,鹿島,広島,Ｅスタ,20200816,明治安田J1第10節,鹿島,神戸,カシマ,1,254406,254406
249,Ｊ１百年構想,120,鹿島,1624342,樋口　雄太,HIGUCHI Yuta,MF,14,佐賀県,168,66,19961030,サガン鳥栖Ｕ－１２-サガン鳥栖Ｕ－１５-サガン鳥栖Ｕ－１８-鹿屋体育大-サガン鳥栖,192,0,0,20190302,明治安田J1第2節,鳥栖,神戸,ノエスタ,20201216,明治安田J1第33節,鳥栖,Ｃ大阪,ヤンマー,1,26947,26947
249,Ｊ１百年構想,120,鹿島,1629407,松村　優太,MATSUMURA Yuta,MF,27,大阪府,173,63,20010413,大阪東淀川ＦＣ-静岡学園高-鹿島アントラーズ-東京ヴェルディ,124,0,0,20200816,明治安田J1第10節,鹿島,神戸,カシマ,20210509,明治安田J1第13節,鹿島,FC東京,カシマ,1,254580,254580
249,Ｊ１百年構想,120,鹿島,1631701,舩橋　佑,FUNABASHI Yu,MF,20,茨城県,175,67,20020712,鹿島アントラーズつくばジュニア-鹿島アントラーズつくばＪｒユース-鹿島アントラーズユース,58,0,0,20210403,明治安田J1第7節,鹿島,浦和,埼玉,20250511,明治安田J1第16節,鹿島,川崎Ｆ,国立,1,254494,254494
249,Ｊ１百年構想,120,鹿島,1639689,林　晴己,HAYASHI Haruki,MF,24,山口県,177,73,20031205,ＦＣリベルダーデ山口-高川学園中-高川学園高-明治大,0,0,0,,,,,,,,,,,1,1045781,
249,Ｊ１百年構想,120,鹿島,1400359,鈴木　優磨,SUZUKI Yuma,FW,40,千葉県,182,75,19960426,鹿島アントラーズＪｒユース-鹿島アントラーズユース-鹿島アントラーズ-シント＝トロイデンＶＶ／ベルギー,235,0,9,20150419,明治安田J3第6節,J-22,藤枝,藤枝サ,20150517,明治安田J3第12節,J-22,福島,とうスタ,1,27696,27696
249,Ｊ１百年構想,120,鹿島,1600257,レオ　セアラ,LEO CEARA,FW,9,ブラジル,178,78,19950203,ＥＣヴィトーリア／ブラジル-ＦＣ琉球-ＥＣヴィトーリア／ブラジル-ＡＤコンフィアンサ／ブラジル-ＥＣヴィトーリア／ブラジル-ＣＲＢ／ブラジル-ＥＣヴィトーリア／ブラジル-横浜Ｆ・マリノス-セレッソ大阪,163,0,23,20160320,明治安田J3第2節,琉球,Ｆ東23,味フィ西,20160320,明治安田J3第2節,琉球,Ｆ東23,味フィ西,1,152950,152950
249,Ｊ１百年構想,120,鹿島,1603090,田川　亨介,TAGAWA Kyosuke,FW,11,長崎県,181,70,19990211,雲仙アルディート-サガン鳥栖Ｕ－１８-サガン鳥栖-ＦＣ東京-ＣＤサンタクララ／ポルトガル-ＦＣ東京-ハート　オブ　ミドロシアンＦＣ／スコットランド,137,0,6,20170305,明治安田J1第2節,鳥栖,川崎Ｆ,等々力,20170408,明治安田J1第6節,鳥栖,新潟,ベアスタ,1,26853,26853
249,Ｊ１百年構想,120,鹿島,1632263,エウベル,ELBER,FW,17,ブラジル,170,70,19920527,クルゼイロ／ブラジル-コリチーバＦＣ／ブラジル-スポルチ　レシフェ／ブラジル-クルゼイロ／ブラジル-ＥＣバイーア／ブラジル-横浜Ｆ・マリノス,155,0,0,20210307,明治安田J1第2節,横浜FM,広島,日産ス,20210403,明治安田J1第7節,横浜FM,湘南,日産ス,1,31493,31493
249,Ｊ１百年構想,120,鹿島,1637049,師岡　柊生,MOROOKA Shu,FW,19,東京都,174,69,20001209,大和田ＳＣ-ＦＣ多摩Ｊｒユース-日本航空高-東京国際大,47,0,0,20230409,明治安田J1第7節,鹿島,柏,三協Ｆ柏,20240706,明治安田J1第22節,鹿島,札幌,カシマ,1,624834,624834
249,Ｊ１百年構想,120,鹿島,1644450,徳田　誉,TOKUDA Homare,FW,34,千葉県,186,83,20070218,鹿島アントラーズつくばジュニア-鹿島アントラーズつくばＪｒユース-鹿島アントラーズユース,21,0,0,20240616,明治安田J1第18節,鹿島,新潟,カシマ,20240914,明治安田J1第30節,鹿島,広島,カシマ,1,799411,799411
249,Ｊ１百年構想,120,鹿島,1646090,チャヴリッチ,CAVRIC,FW,77,セルビア,186,82,19940518,ＦＫバナト　ズレニャニン／セルビア-ＯＦＫベオグラード／セルビア-ＫＲＣゲンク／ベルギー-オーフスＧＦ／デンマーク-ＳＫスロヴァン　ブラチスラヴァ／スロバキア,56,0,0,20240223,明治安田J1第1節,鹿島,名古屋,豊田ス,20240223,明治安田J1第1節,鹿島,名古屋,豊田ス,1,417,417
249,Ｊ１百年構想,120,鹿島,1646924,吉田　湊海,YOSHIDA Minato,FW,30,神奈川県,172,72,20080715,ＪＦＣ　ＦＵＴＵＲＯ-ＦＣ多摩Ｊｒユース,1,0,0,20250429,明治安田J1第13節,鹿島,横浜FC,ニッパツ,,,,,,1,1006374,896534
249,Ｊ１百年構想,176,水戸,1000260,松原　修平,MATSUBARA Shuhei,GK,21,北海道,185,87,19920811,函館シーガル-コンサドーレ札幌ユース・Ｕ－１５-コンサドーレ札幌ユース・Ｕ－１８-ファジアーノ岡山-ファジアーノ岡山ネクスト-ファジアーノ岡山-ファジアーノ岡山ネクスト-ファジアーノ岡山-ファジアーノ岡山ネクスト-ファジアーノ岡山-ファジアーノ岡山ネクスト-ファジアーノ岡山-カマタマーレ讃岐-ザスパクサツ群馬-湘南ベルマーレ-ザスパクサツ群馬-京都サンガF.C.-北海道コンサドーレ札幌,0,61,32,20170611,明治安田J2第18節,讃岐,金沢,ピカスタ,,,,,,1,254569,254569
249,Ｊ１百年構想,176,水戸,1632233,西川　幸之介,NISHIKAWA Konosuke,GK,34,愛知県,181,78,20020911,グランパスみよし-シルフィードＦＣ-藤枝東高-大分トリニータ,0,64,0,20230219,明治安田J2第1節,大分,徳島,鳴門大塚,,,,,,1,790099,790099
249,Ｊ１百年構想,176,水戸,1632426,春名　竜聖,HARUNA Ryusei,GK,51,兵庫県,184,80,20040501,江井ヶ島イレブン-セレッソ大阪西Ｕ－１５-セレッソ大阪Ｕ－１８-水戸ホーリーホック-テゲバジャーロ宮崎,0,17,0,20230503,明治安田J2第13節,水戸,長崎,トラスタ,,,,,,1,74122,74122
249,Ｊ１百年構想,176,水戸,1646371,上山　海翔,KAMIYAMA Minato,GK,37,茨城県,203,98,20070910,ＦＣヴェレン大洗-水戸ホーリーホックＪｒユース-水戸ホーリーホックユース,0,0,0,,,,,,,,,,,1,,
249,Ｊ１百年構想,176,水戸,1650541,早川　ウワブライト,HAYAKAWA Uwabright,GK,77,神奈川県,190,84,20061029,小雀ＳＣ-ＦＣ湘南Ｊｒユース-日本体育大学柏高,0,0,0,,,,,,,,,,,1,,
249,Ｊ１百年構想,176,水戸,1603283,飯田　貴敬,IIDA Takahiro,DF,6,茨城県,180,73,19940831,真壁ジュニオール-下館西中-野洲高-専修大-清水エスパルス-京都サンガF.C.-大宮アルディージャ-京都サンガF.C.-ヴァンフォーレ甲府-京都サンガF.C.,33,145,0,20170401,明治安田J1第5節,清水,磐田,エコパ,20210417,明治安田J2第8節,京都,北九州,サンガＳ,1,255021,255021
249,Ｊ１百年構想,176,水戸,1607143,真瀬　拓海,MASE Takumi,DF,25,千葉県,175,70,19980503,南市川ＪＦＣ-ＪＳＣ　ＣＨＩＢＡ-市立船橋高-阪南大-ベガルタ仙台,48,121,0,20200708,明治安田J1第3節,仙台,浦和,ユアスタ,20210710,明治安田J1第22節,仙台,札幌,ユアスタ,1,789901,789901
249,Ｊ１百年構想,176,水戸,1632532,井上　聖也,INOUE Seiya,DF,5,兵庫県,187,80,19991109,末広ＦＣ-宝梅中-西宮高-甲南大-アビスパ福岡-徳島ヴォルティス-アビスパ福岡,31,7,0,20230625,明治安田J1第18節,福岡,神戸,ベススタ,,,,,,1,254596,254596
249,Ｊ１百年構想,176,水戸,1636260,大森　渚生,OMORI Sho,DF,7,東京都,177,75,19990819,ＡＺ８６東京青梅-東京ヴェルディジュニア-東京ヴェルディＪｒユース-東京ヴェルディユース-日本大-栃木ＳＣ,0,142,0,20220219,明治安田J2第1節,栃木,秋田,カンセキ,20230503,明治安田J2第13節,栃木,金沢,カンセキ,1,790054,790054
249,Ｊ１百年構想,176,水戸,1637055,板倉　健太,ITAKURA Kenta,DF,17,埼玉県,182,78,20020615,レジスタＦＣ-ＣＡアレグレ-山梨学院高-東京国際大,0,36,0,20250215,明治安田J2第1節,水戸,磐田,ヤマハ,,,,,,1,999881,895937
249,Ｊ１百年構想,176,水戸,1641535,牛澤　健,USHIZAWA Takeshi,DF,4,中国,178,73,20010411,守西ＦＣ-名古屋グランパスＵ－１２-名古屋グランパスＵ－１５-名古屋グランパスＵ－１８-中央大,0,39,0,20240302,明治安田J2第2節,水戸,甲府,Ｋｓスタ,,,,,,1,813833,815357
249,Ｊ１百年構想,176,水戸,1645975,尾野　優日,ONO Yuhi,DF,18,,,,,,0,0,0,,,,,,,,,,,0,,
249,Ｊ１百年構想,176,水戸,1646520,佐々木　輝大,SASAKI Kirato,DF,89,東京都,185,80,20030929,小柳小まむし坂ＳＣ-川崎フロンターレＵ－１２-川崎フロンターレＵ－１５-鹿島学園高-関東学院大,0,1,0,20250913,明治安田J2第29節,水戸,仙台,ユアスタ,,,,,,1,1028069,903628
249,Ｊ１百年構想,176,水戸,1647897,フォファナ　マリック,FOFANA Malick,DF,71,東京都,185,80,20000502,町田相原ＦＣ-尚志高-山梨学院大-ＦＣティアモ枚方-ＦＣ大阪-ＦＣティアモ枚方,0,2,4,20241004,明治安田J3第31節,FC大阪,岩手,たけびし,,,,,,1,1016412,897581
249,Ｊ１百年構想,176,水戸,1650818,ダニーロ,DANILO,DF,2,ブラジル,183,78,19970327,パルメイリーニャ／ブラジル-ヴィラ　ノヴァ／ブラジル-アトレチックＭＧ／ブラジル-コインブラＭＧ／ブラジル-アトレチックＭＧ／ブラジル-インテル　デ　リメイラ／ブラジル-べチンＥＣ／ブラジル-ボストン　シティ　ブラジル／ブラジル-アトレチックＭＧ／ブラジル-ヴィトリア／ブラジル-ゴイアスＥＣ／ブラジル-アトレチックＭＧ／ブラジル-ナウチコ／ブラジル-アトレチックＭＧ／ブラジル-ＦＣ今治,0,33,0,20250216,明治安田J2第1節,今治,秋田,アシさと,,,,,,1,173893,173893
249,Ｊ１百年構想,176,水戸,1656838,林　和喜,HAYASHI Kazuki,DF,55,千葉県,184,78,20080417,宮本ＪＳＣ-船橋ＦＣ-ＦＣ習志野,0,0,0,,,,,,,,,,,1,,
249,Ｊ１百年構想,176,水戸,1500277,加藤　千尋,KATO Chihiro,MF,8,東京都,175,72,19981212,尾山台ＳＣ-ヴィトーリア目黒ＦＣ-ヴェルディＳ．Ｓ．アジュント-流通経済大付属柏高-流通経済大-ベガルタ仙台-モンテディオ山形,34,84,0,20210306,明治安田J1第2節,仙台,川崎Ｆ,ユアスタ,20210424,明治安田J1第11節,仙台,札幌,札幌厚別,1,789904,789904
249,Ｊ１百年構想,176,水戸,1600011,鳥海　芳樹,TORIKAI Yoshiki,MF,11,神奈川県,165,62,19980801,村岡キッカーズ-村岡中-桐光学園高-桐蔭横浜大-ヴァンフォーレ甲府,0,171,0,20210228,明治安田J2第1節,甲府,千葉,フクアリ,20210509,明治安田J2第13節,甲府,東京Ｖ,ＪＩＴス,1,726999,726999
249,Ｊ１百年構想,176,水戸,1605464,仙波　大志,SEMBA Taishi,MF,19,広島県,164,62,19990819,サンフレッチェ広島ジュニア-サンフレッチェ広島Ｊｒユース-サンフレッチェ広島ユース-流通経済大-サンフレッチェ広島-ファジアーノ岡山-サンフレッチェ広島-ファジアーノ岡山-サンフレッチェ広島-ファジアーノ岡山-サンフレッチェ広島-ザスパ群馬-サンフレッチェ広島-水戸ホーリーホック-サンフレッチェ広島,2,83,0,20220219,明治安田J1第1節,広島,鳥栖,Ｅスタ,20220925,明治安田J2第38節,岡山,仙台,Ｃスタ,1,254581,254581
249,Ｊ１百年構想,176,水戸,1614109,新井　瑞希,ARAI Mizuki,MF,14,埼玉県,170,64,19970414,浦和レッズユース-ＳＶホルン／オーストリア-ＳＣ相模原-カターレ富山-東京ヴェルディ-カターレ富山-東京ヴェルディ-ジル　ビセンテＦＣ／ポルトガル-横浜ＦＣ-ヴィッセル神戸-横浜ＦＣ,17,77,44,20170924,明治安田J3第24節,相模原,YS横浜,ギオンス,20171022,明治安田J3第28節,相模原,藤枝,エコパ,1,178585,178585
249,Ｊ１百年構想,176,水戸,1624844,長尾　優斗,NAGAO Yuto,MF,15,大阪府,178,72,20010831,摂津ＦＣ-摂津イレブンＪＣＳ-千里丘ＦＣ-ガンバ大阪ユース-関西学院大,0,43,11,20190413,明治安田J3第6節,Ｇ大23,熊本,万博,,,,,,1,813831,815322
249,Ｊ１百年構想,176,水戸,1630059,山下　優人,YAMASHITA Yuto,MF,48,千葉県,174,78,19960524,千城台ＦＣ-ジェフユナイテッド千葉Ｕ－１５-青森山田高-桐蔭横浜大-いわきＦＣ,0,116,34,20220313,明治安田J3第1節,いわき,鹿児島,白波スタ,20230827,明治安田J2第32節,いわき,熊本,えがおＳ,1,798280,798280
249,Ｊ１百年構想,176,水戸,1632269,大崎　航詩,OSAKI Koshi,MF,3,大阪府,178,73,19980630,ＳＴＡＹ　ＣＯＯＬ　ＦＣ-大阪セントラルＦＣ-東海大仰星高-大阪体育大,0,139,0,20210505,明治安田J2第12節,水戸,金沢,石川西部,20210613,明治安田J2第18節,水戸,相模原,Ｋｓスタ,1,727178,727178
249,Ｊ１百年構想,176,水戸,1635562,川上　航立,KAWAKAMI Kotatsu,MF,82,大阪府,173,68,20020907,セレッソ大阪Ｕ－１２-ガンバ大阪門真Ｊｒユース-帝京長岡高-立正大-水戸ホーリーホック-松本山雅ＦＣ,0,5,12,20250215,明治安田J2第1節,水戸,磐田,ヤマハ,,,,,,1,999884,895938
249,Ｊ１百年構想,176,水戸,1641542,山﨑　希一,YAMAZAKI Kiichi,MF,24,和歌山県,167,60,20011012,富田ＳＳＳ-カナリーニョＦＣリオ-興国高-中央大,0,37,0,20240224,明治安田J2第1節,水戸,いわき,Ｋｓスタ,20250330,明治安田J2第7節,水戸,いわき,Ｋｓスタ,1,813835,815324
249,Ｊ１百年構想,176,水戸,1646766,島谷　義進,SHIMATANI Kishin,MF,41,愛知県,176,67,20080323,東海スポーツ-ＦＣ　ＶＩＤＡ-東海スポーツ-ＦＣフェルボール愛知-流通経済大付属柏高,0,0,0,,,,,,,,,,,1,,
249,Ｊ１百年構想,176,水戸,1647012,山本　隼大,YAMAMOTO Hayata,MF,39,愛知県,180,74,20030212,愛知ＦＣ　Ｕ－１２-刈谷ＪＹ-名古屋高-専修大,0,53,0,20240518,明治安田J2第16節,水戸,大分,Ｋｓスタ,20240629,明治安田J2第22節,水戸,山口,Ｋｓスタ,1,825694,892591
249,Ｊ１百年構想,176,水戸,1650722,安藤　晃希,ANDO Koki,MF,33,東京都,170,60,20070922,ヘラクレスＦＣ-大森ＦＣ-ｔｆａ　Ｊｒユース-流通経済大付属柏高,0,0,0,,,,,,,,,,,1,1066802,
249,Ｊ１百年構想,176,水戸,1650884,嵯峨　康太,SAGA Kouta,MF,28,,,,,,0,0,0,,,,,,,,,,,0,,
249,Ｊ１百年構想,176,水戸,1655790,山下　翔大,YAMASHITA Shota,MF,53,愛知県,173,73,20080229,Ｎａｇｏｙａ．Ｓ．Ｓ．-名古屋高,0,0,0,,,,,,,,,,,1,1067079,
249,Ｊ１百年構想,176,水戸,1503340,渡邉　新太,WATANABE Arata,FW,10,新潟県,171,67,19950805,ＦＣ五十嵐Ｊｒユース-アルビレックス新潟ユース-流通経済大-アルビレックス新潟-大分トリニータ,31,194,0,20180317,明治安田J2第4節,新潟,横浜FC,ニッパツ,20180503,明治安田J2第12節,新潟,金沢,石川西部,1,790096,790096
249,Ｊ１百年構想,176,水戸,1604675,奥田　晃也,OKUDA Koya,FW,44,和歌山県,181,72,19941001,三佐木ＳＳＳ-三佐木アルマボーラ-アルビレックス新潟ユース-神奈川大-Ｙ．Ｓ．Ｃ．Ｃ．横浜-水戸ホーリーホック-Ｖ・ファーレン長崎-ツエーゲン金沢-Ｖ・ファーレン長崎-栃木ＳＣ,0,191,89,20170430,明治安田J3第6節,YS横浜,北九州,ミクスタ,20170701,明治安田J3第15節,YS横浜,琉球,ニッパツ,1,798187,798187
249,Ｊ１百年構想,176,水戸,1621200,久保　征一郎,KUBO Seiichiro,FW,22,,,,,,0,0,0,,,,,,,,,,,0,798097,798097
249,Ｊ１百年構想,176,水戸,1624311,粟飯原　尚平,AIHARA Shohei,FW,13,北海道,178,75,19960526,ＳＳＳ札幌-北海道コンサドーレ札幌Ｕ－１８-近畿大-ＦＣ岐阜-ロアッソ熊本-ＦＣ岐阜,0,86,102,20190330,明治安田J2第6節,岐阜,京都,長良川,20190330,明治安田J2第6節,岐阜,京都,長良川,1,789914,789914
249,Ｊ１百年構想,176,水戸,1630109,根本　凌,NEMOTO Ryo,FW,9,神奈川県,184,83,20000203,茅ヶ崎小和田ＦＣ-シュートＪｒユースＦＣ-上田西高-鹿屋体育大-湘南ベルマーレ-栃木ＳＣ-湘南ベルマーレ-栃木ＳＣ-湘南ベルマーレ,27,54,0,20200905,明治安田J1第14節,湘南,神戸,ＢＭＷス,20220618,明治安田J2第22節,栃木,大分,栃木グ,1,798104,798104
249,Ｊ１百年構想,176,水戸,1634967,マテウス　レイリア,MATHEUS LEIRIA,FW,70,ブラジル,179,69,19950122,フルミネンセＦＣ　Ｕ－２０／ブラジル-ＧＥジュベントス／ブラジル-ホブロＩＫ／デンマーク-ＧＥジュベントス／ブラジル-グロリア／ブラジル-バーラＦＣ／ブラジル-ＦＣヘルシンゲル／デンマーク-プラタニアス／ギリシャ-ＦＫクケシ／アルバニア-カターレ富山-ヴァンフォーレ甲府,0,31,81,20210828,明治安田J3第16節,富山,藤枝,富山,20210905,明治安田J3第17節,富山,沼津,愛鷹,1,929132,815567
249,Ｊ１百年構想,176,水戸,1635561,多田　圭佑,TADA Keisuke,FW,29,茨城県,175,72,20020927,坂本サッカースポーツ少年団-坂本中-矢板中央高-立正大,0,16,0,20250215,明治安田J2第1節,水戸,磐田,ヤマハ,20251005,明治安田J2第32節,水戸,愛媛,ニンスタ,1,999885,895941
249,Ｊ１百年構想,176,水戸,1641668,五木田　季晋,GOKITA Kishin,FW,87,兵庫県,184,78,20040712,西神中央ＦＣ-はるひ野ＢＳＣ-川崎フロンターレＵ－１５-川崎フロンターレＵ－１８-日本大在学中,0,1,0,20251019,明治安田J2第33節,水戸,千葉,Ｋｓスタ,,,,,,1,1031915,904424
