試合種別ID,試合種別名略,所属グループ,Jリーグ表示順,チームID,チーム名,チーム名略,チーム名英,チーム名英略,チーム名カナ,チーム名カナ略,国ID,国名略,都道府県,チームカラー
250,Ｊ２・Ｊ３百年構想,EAST-A,22,296,横浜ＦＣ,横浜FC,Yokohama FC,Y-FC,ヨコハマエフシー,ヨコハマエフシー,1,日本,神奈川県,0.255.255
250,Ｊ２・Ｊ３百年構想,EAST-A,23,130,湘南ベルマーレ,湘南,Shonan Bellmare,SHON,ショウナンベルマーレ,ショウナン,1,日本,神奈川県,0.255.0
250,Ｊ２・Ｊ３百年構想,EAST-A,24,30676,ＳＣ相模原,相模原,S.C. Sagamihara,SAGM,エスシーサガミハラ,サガミハラ,1,日本,神奈川県,0.105.0
250,Ｊ２・Ｊ３百年構想,EAST-B,25,150,ヴァンフォーレ甲府,甲府,Ventforet Kofu,KOFU,ヴァンフォーレコウフ,コウフ,1,日本,山梨県,0.0.255
250,Ｊ２・Ｊ３百年構想,EAST-B,26,30528,松本山雅ＦＣ,松本,Matsumoto Yamaga F.C.,MATS,マツモトヤマガエフシー,マツモト,1,日本,長野県,0.105.0
250,Ｊ２・Ｊ３百年構想,EAST-B,27,30535,ＡＣ長野パルセイロ,長野,AC Nagano Parceiro,NAGA,エーシーナガノパルセイロ,ナガノ,1,日本,長野県,250.115.0
250,Ｊ２・Ｊ３百年構想,WEST-A,28,193,アルビレックス新潟,新潟,Albirex Niigata,NIIG,アルビレックスニイガタ,ニイガタ,1,日本,新潟県,250.115.0
250,Ｊ２・Ｊ３百年構想,WEST-A,29,30308,カターレ富山,富山,Kataller Toyama,TOYA,カターレトヤマ,トヤマ,1,日本,富山県,0.0.150
250,Ｊ２・Ｊ３百年構想,WEST-A,30,30526,ツエーゲン金沢,金沢,Zweigen Kanazawa,KANA,ツエーゲンカナザワ,カナザワ,1,日本,石川県,255.0.0
250,Ｊ２・Ｊ３百年構想,EAST-B,32,131,ジュビロ磐田,磐田,Jubilo Iwata,IWAT,ジュビロイワタ,イワタ,1,日本,静岡県,0.255.255
250,Ｊ２・Ｊ３百年構想,EAST-B,33,30677,藤枝ＭＹＦＣ,藤枝,Fujieda MYFC,FUJI,フジエダマイエフシー,フジエダ,1,日本,静岡県,128.0.128
250,Ｊ２・Ｊ３百年構想,EAST-B,35,30302,ＦＣ岐阜,岐阜,FC Gifu,GIFU,エフシーギフ,ギフ,1,日本,岐阜県,0.105.0
250,Ｊ２・Ｊ３百年構想,WEST-B,36,30312,レイラック滋賀ＦＣ,滋賀,Reilac Shiga FC,RSFC,レイラックシガエフシー,シガ,1,日本,滋賀県,
250,Ｊ２・Ｊ３百年構想,WEST-A,40,30987,ＦＣ大阪,FC大阪,FC Osaka,F-OS,エフシーオオサカ,エフシーオオサカ,1,日本,大阪府,0.255.255
250,Ｊ２・Ｊ３百年構想,WEST-A,42,30985,奈良クラブ,奈良,Nara Club,NARA,ナラクラブ,ナラ,1,日本,奈良県,0.0.255
250,Ｊ２・Ｊ３百年構想,WEST-B,43,30000,ガイナーレ鳥取,鳥取,Gainare Tottori,TOTR,ガイナーレトットリ,トットリ,1,日本,鳥取県,0.255.0
250,Ｊ２・Ｊ３百年構想,WEST-B,46,30851,レノファ山口ＦＣ,山口,Renofa Yamaguchi FC,R-YA,レノファヤマグチエフシー,ヤマグチ,1,日本,山口県,250.115.0
250,Ｊ２・Ｊ３百年構想,WEST-A,47,30536,カマタマーレ讃岐,讃岐,Kamatamare Sanuki,SANU,カマタマーレサヌキ,サヌキ,1,日本,香川県,0.255.255
250,Ｊ２・Ｊ３百年構想,WEST-A,48,30116,徳島ヴォルティス,徳島,Tokushima Vortis,TOKU,トクシマヴォルティス,トクシマ,1,日本,徳島県,0.0.150
250,Ｊ２・Ｊ３百年構想,WEST-A,49,30148,愛媛ＦＣ,愛媛,Ehime FC,EHIM,エヒメエフシー,エヒメ,1,日本,愛媛県,250.115.0
250,Ｊ２・Ｊ３百年構想,WEST-A,50,30974,ＦＣ今治,今治,FC Imabari,IMAB,エフシーイマバリ,イマバリ,1,日本,愛媛県,0.0.105
250,Ｊ２・Ｊ３百年構想,WEST-A,51,31204,高知ユナイテッドＳＣ,高知,Kochi United SC,KUSC,コウチユナイテッドエスシー,コウチ,1,日本,高知県,185.0.0
250,Ｊ２・Ｊ３百年構想,WEST-B,53,30313,ギラヴァンツ北九州,北九州,Giravanz Kitakyushu,KIKY,ギラヴァンツキタキュウシュウ,キタキュウシュウ,1,日本,福岡県,255.255.0
250,Ｊ２・Ｊ３百年構想,WEST-B,54,269,サガン鳥栖,鳥栖,Sagan Tosu,TOSU,サガントス,トス,1,日本,佐賀県,0.255.255
250,Ｊ２・Ｊ３百年構想,WEST-B,56,30303,ロアッソ熊本,熊本,Roasso Kumamoto,KUMA,ロアッソクマモト,クマモト,1,日本,熊本県,255.0.0
250,Ｊ２・Ｊ３百年構想,WEST-B,57,207,大分トリニータ,大分,Oita Trinita,OITA,オオイタトリニータ,オオイタ,1,日本,大分県,0.0.150
250,Ｊ２・Ｊ３百年構想,WEST-B,58,31508,テゲバジャーロ宮崎,宮崎,Tegevajaro Miyazaki,MYZK,テゲバジャーロミヤザキ,ミヤザキ,1,日本,宮崎県,255.255.255
250,Ｊ２・Ｊ３百年構想,WEST-B,59,31042,鹿児島ユナイテッドＦＣ,鹿児島,Kagoshima United FC,KUFC,カゴシマユナイテッドエフシー,カゴシマ,1,日本,鹿児島県,0.0.105
250,Ｊ２・Ｊ３百年構想,WEST-B,60,30317,ＦＣ琉球,琉球,FC RYUKYU,RYUK,エフシーリュウキュウ,リュウキュウ,1,日本,沖縄県,185.0.0
